# The neutral compose corpus: 259 files, one per repository, sampled across 733.
# Every figure in docs/DOCKER-COMPAT.md and docs/RUNTIME-PARITY.md is measured on it.
# It is listed rather than vendored: the files are other people's, and a copy in this
# repo would be a redistribution nobody asked for. Each row is enough to fetch it back.
#
# THE COMMIT IS NOT PINNED. The corpus was sampled by repository and path, not by
# revision, so a file may have changed or vanished since. That is a real limit on
# reproducing these numbers exactly, and it is written here rather than discovered:
# the sha256 prefix of the bytes measured is the only thing that pins what was read.
#
# corpus-file	owner	repo	path-in-repo	sha256-16
0kkun~tennis-track~.openapi~docker-compose.yml	0kkun	tennis-track	.openapi/docker-compose.yml	80811599b8450977
1235357~debate-engine~docker-compose.yml	1235357	debate-engine	docker-compose.yml	862bc16485a3490f
54GradSoftware~google-fonts-checker~docker-compose.yml.example	54GradSoftware	google-fonts-checker	docker-compose.yml.example	40a32b93d1717189
AP0827~Multi-Threaded-Web-Server~docker-compose.yml	AP0827	Multi-Threaded-Web-Server	docker-compose.yml	a37cf64e2d54384c
AequaTech~DeBunker~docker-compose.yml	AequaTech	DeBunker	docker-compose.yml	56020a7e646071b0
AlexanderPortland~Portfolio~docker-compose.yml.dev	AlexanderPortland	Portfolio	docker-compose.yml.dev	2d4d9e0ccb9fec61
AndresHardware~Vaultwarden~docker-compose.yml.txt	AndresHardware	Vaultwarden	docker-compose.yml.txt	a6493d6533e83813
AnjaliSamrat~Real-states-risks-scorer~docker-compose.yml	AnjaliSamrat	Real-states-risks-scorer	docker-compose.yml	5af63aadc7867184
Anonym-tsk~petkit-hacks~docker-compose.yml.tmp	Anonym-tsk	petkit-hacks	docker-compose.yml.tmp	826d17fcc25fbb72
Aram8956~LMSPlatform~docker-compose.yml	Aram8956	LMSPlatform	docker-compose.yml	c02ff3fccb83f047
ArmandoHdzBta~api-spring~docker-compose.yml	ArmandoHdzBta	api-spring	docker-compose.yml	ba4f1b850bfb4296
ArturB~RSO~docker-compose.yml.bak	ArturB	RSO	docker-compose.yml.bak	2e7fe4f987df19a8
AryanMarwah7781~FitPub~docker-compose.yml	AryanMarwah7781	FitPub	docker-compose.yml	34eebd60f3e7d4be
AshwinSaklecha~LedgerPay~docker-compose.yml	AshwinSaklecha	LedgerPay	docker-compose.yml	15a1045b71fd078e
Bara2222~fittrack~docker-compose.yml	Bara2222	fittrack	docker-compose.yml	22a0ce96af6180e1
Bola-j~SolKey~docker-compose.yml	Bola-j	SolKey	docker-compose.yml	b2e233256e566946
Broseki~Broseki-Website~docker-compose.yml	Broseki	Broseki-Website	docker-compose.yml	ef90058df7bc8633
ByteMeDirk~semantic-medallion-data-platform~docker-compose.yml	ByteMeDirk	semantic-medallion-data-platform	docker-compose.yml	09357d8f5143285a
CEIJ-GPSDE~GoTracker~docker-compose.yml	CEIJ-GPSDE	GoTracker	docker-compose.yml	daeac843bb63c51b
CMU-313~docker-intro~docker-compose.yml_1.txt	CMU-313	docker-intro	docker-compose.yml_1.txt	ec816d359f274740
CarMi0Proggramer~php-erp-challenge~docker-compose.yml	CarMi0Proggramer	php-erp-challenge	docker-compose.yml	43209fa8d5db784e
CoinLQ~LQCharacter~docker-compose.yml.bak	CoinLQ	LQCharacter	docker-compose.yml.bak	3e0300a327734c3e
DDS-Solutions~AI-TadPole-OS~docker-compose.yml	DDS-Solutions	AI-TadPole-OS	docker-compose.yml	cdd3e9de94d5bb64
DEIPworld~deip-orip-client~docker-compose.yml.old	DEIPworld	deip-orip-client	docker-compose.yml.old	273cda88fcaab687
DataScientest-Studio~juin23_continu_mlops_meteo~docker-compose.yml	DataScientest-Studio	juin23_continu_mlops_meteo	docker-compose.yml	a884a76d8625f03b
DataScientest-Studio~juin23_continu_mlops_pompiers~docker-compose.yml	DataScientest-Studio	juin23_continu_mlops_pompiers	docker-compose.yml	8d537f07a0a09c0b
Dataman-Cloud~offline-prometheus~docker-compose.yml.tmp	Dataman-Cloud	offline-prometheus	docker-compose.yml.tmp	15b81e25bee00280
DevModeVivek~book-management-system~docker-compose.yml	DevModeVivek	book-management-system	docker-compose.yml	1cb274430fbddcd1
DevYangJC~DataLoom~deplay~docker-compose.yml	DevYangJC	DataLoom	deplay/docker-compose.yml	0f287b432c9e6414
DigneZzZ~dwg~docker-compose.yml.CLI	DigneZzZ	dwg	docker-compose.yml.CLI	d5e8ea70761938d0
Dongdongshe~K-Scheduler~libfuzzer_integration~llvm_11.0.1~libcxx~utils~docker~debian9~buildbot~docker-compose.yml	Dongdongshe	K-Scheduler	libfuzzer_integration/llvm_11.0.1/libcxx/utils/docker/debian9/buildbot/docker-compose.yml	28441b17d4437781
EBiM-Benchmark~benchmark~task3_isaacsim~docker-compose.yml	EBiM-Benchmark	benchmark	task3_isaacsim/docker-compose.yml	b635323f2c98d3e4
EvilFreelancer~docker-nextcloud~docker-compose.yml.dist	EvilFreelancer	docker-nextcloud	docker-compose.yml.dist	95e0bb8aadfd784b
Fayer00~metric_proyect~docker-compose.yml	Fayer00	metric_proyect	docker-compose.yml	5408871cd2c857fd
Felix-gg-cloud~ClaudeWorkspace~projects~LinguaLeap~docker-compose.yml	Felix-gg-cloud	ClaudeWorkspace	projects/LinguaLeap/docker-compose.yml	f16aeda5fdb57afb
Fresh-Advance~Development~docker-compose.yml.dist	Fresh-Advance	Development	docker-compose.yml.dist	fa73fccdc99ea835
GEMILUXVII~github-telegram-bot~docker-compose.yml	GEMILUXVII	github-telegram-bot	docker-compose.yml	f192449b4e4f5078
GenessyX~open-gallery~docker-compose.yml	GenessyX	open-gallery	docker-compose.yml	f1e024ec41dfc12b
Goose1216~E-comerce_site~docker-compose.yml	Goose1216	E-comerce_site	docker-compose.yml	dd78602a0009f25e
GovindYadav15~chat-widget-client-demo~docker-compose.yml	GovindYadav15	chat-widget-client-demo	docker-compose.yml	7073dda3267ab407
Grazziano~api-adote-um-amigo~docker-compose.yml	Grazziano	api-adote-um-amigo	docker-compose.yml	cf3475d8332b9fc8
Gustav0Prado~trab-seguranca~docker-compose.yml	Gustav0Prado	trab-seguranca	docker-compose.yml	2cdd847222c7fa20
GustavAT~Votor~docker-compose.yml.old	GustavAT	Votor	docker-compose.yml.old	8ce40de2eda5152c
HassanTariqAlvi~React-NodeAPI-MySQL~docker-compose.yml	HassanTariqAlvi	React-NodeAPI-MySQL	docker-compose.yml	e761719203de73b6
Hexsia~Fiport-Portfolio~docker-compose.yml	Hexsia	Fiport-Portfolio	docker-compose.yml	2fc7964189c29c67
INCEPTdk~omop_etl~docker-compose.yml	INCEPTdk	omop_etl	docker-compose.yml	13e65cae14269564
IkigaiLabsETH~ikigAI-Labs~db~docker-compose.yml.md	IkigaiLabsETH	ikigAI-Labs	db/docker-compose.yml.md	638f801e6316c9ed
Jianxuan-Li~dev-in-docker~python3-nginx~docker-compose.yml	Jianxuan-Li	dev-in-docker	python3-nginx/docker-compose.yml	e4f49588c269b979
Jokerkraft~Sistema-De-Inventarios~docker-compose.yml	Jokerkraft	Sistema-De-Inventarios	docker-compose.yml	fb821ca1950e01a7
Jorgeluisferreira~plataforma_ensino~docker-compose.yml	Jorgeluisferreira	plataforma_ensino	docker-compose.yml	37d5fe1470ae28da
JoshDunnDev~farmy-fish-fry~docker-compose.yml	JoshDunnDev	farmy-fish-fry	docker-compose.yml	b810b8b976aabd99
KTH~node-api~docker-compose.yml.in	KTH	node-api	docker-compose.yml.in	172d883a787d6bda
KTH~node-web~docker-compose.yml.in	KTH	node-web	docker-compose.yml.in	4442f12d560e857c
LiReyes~todo-api~docker-compose.yml	LiReyes	todo-api	docker-compose.yml	419bacfb57bcae30
Marwan051~final-project-database~docker-compose.yml	Marwan051	final-project-database	docker-compose.yml	e0c47ca448ed31c1
MenkoyS~3PROJ~docker-compose.yml	MenkoyS	3PROJ	docker-compose.yml	a1dd6109d120df0f
OXID-eSales~docker-eshop-sdk~docker-compose.yml.dist	OXID-eSales	docker-eshop-sdk	docker-compose.yml.dist	fa73fccdc99ea835
Oliver0804~docker_phpmyadmin~docker-compose.yml	Oliver0804	docker_phpmyadmin	docker-compose.yml	d7f183382cb064e5
PACER-PHII~PACER-client~docker-compose.yml.bk	PACER-PHII	PACER-client	docker-compose.yml.bk	141738ae07d995d7
PacktPublishing~PHP-8-Programming-Cookbook~docker-compose.yml.bak	PacktPublishing	PHP-8-Programming-Cookbook	docker-compose.yml.bak	12cf48ebefc288f0
Payum~PayumServer~docker-compose.yml.dist	Payum	PayumServer	docker-compose.yml.dist	3ad8f79b74e1aa86
PelionIoT~pelion-edge-provisioner~docker-compose.yml	PelionIoT	pelion-edge-provisioner	docker-compose.yml	92c3af693757939f
PortilloDev~designPatternsInPHP~docker-compose.yml.dist	PortilloDev	designPatternsInPHP	docker-compose.yml.dist	f2fc6ee3a726a059
Prushka~Recipe-Fullstack~docker-compose.yml	Prushka	Recipe-Fullstack	docker-compose.yml	deb59d3c6d664457
RadovanBulla1304~DP_OtazkovySystem_v2~docker-compose.yml	RadovanBulla1304	DP_OtazkovySystem_v2	docker-compose.yml	92e599d8ff92ea05
Rahul-jooluru~AgentChain~docker-compose.yml	Rahul-jooluru	AgentChain	docker-compose.yml	06c09350331657d1
